Library|Pantone_Name|Hex|R|G|B|C|M|Y|K|L|a|b|Hex_Source|RGB_Source|CMYK_Source|Lab_Source
FHI Cotton TCX|PANTONE 11-4001 TCX|#EFF4FF|239|244|255|6.3|4.3|0.0|0.0|96.44|2.83|-15.95|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 11-0601 TCX|#F4FBFF|244|251|255|4.3|1.6|0.0|0.0|98.75|1.05|-12.63|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 11-0700 TCX|#F5F9FF|245|249|255|3.9|2.4|0.0|0.0|98.39|2.54|-14.69|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 11-4800 TCX|#E6E9E7|230|233|231|1.3|0.0|0.9|8.6|92.13|-1.19|0.66|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 11-4201 TCX|#EFEEE9|239|238|233|0.0|0.4|2.5|6.3|94.07|-0.15|2.72|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 11-0608 TCX|#F0EDE6|240|237|230|0.0|1.2|4.2|5.9|93.94|-0.12|4.1|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 11-4801 TCX|#E7E3D9|231|227|217|0.0|1.7|6.1|9.4|90.46|0.09|5.43|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 11-0607 TCX|#F3EEE7|243|238|231|0.0|2.1|4.9|4.7|94.31|1.0|3.8|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 11-1001 TCX|#EEEBE7|238|235|231|0.0|1.3|2.9|6.7|93.19|0.64|2.42|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 11-0602 TCX|#F1F0EB|241|240|235|0.0|0.4|2.5|5.5|94.85|-0.33|2.85|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 11-4202 TCX|#EFEFE8|239|239|232|0.0|0.0|2.9|6.3|94.21|-0.96|3.26|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 11-4300 TCX|#EFEEE4|239|238|228|0.0|0.4|4.6|6.3|93.96|-1.09|5.04|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 11-4302 TCX|#F0EFE2|240|239|226|0.0|0.4|5.8|5.9|94.32|-1.29|6.62|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 11-0103 TCX|#F1ECDF|241|236|223|0.0|2.1|7.5|5.5|93.5|0.17|7.01|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 11-0104 TCX|#EFE9DA|239|233|218|0.0|2.5|8.8|6.3|92.56|-0.08|8.35|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 11-0606 TCX|#F0E8D9|240|232|217|0.0|3.3|9.6|5.9|92.33|0.96|8.21|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 11-0701 TCX|#ECE6DA|236|230|218|0.0|2.5|7.6|7.5|91.54|0.38|6.42|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 12-0601 TCX|#EAE0D2|234|224|210|0.0|4.3|10.3|8.2|89.84|1.65|8.14|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 11-0604 TCX|#EFE8DF|239|232|223|0.0|2.9|6.7|6.3|92.39|1.32|5.57|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 11-0605 TCX|#ECE6DE|236|230|222|0.0|2.5|5.9|7.5|91.55|0.98|4.76|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 13-0905 TCX|#DBD4C6|219|212|198|0.0|3.2|9.6|14.1|85.32|0.71|8.02|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 11-0105 TCX|#EDE4D3|237|228|211|0.0|3.8|11.0|7.1|90.88|1.04|9.6|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 12-0703 TCX|#E4D9C3|228|217|195|0.0|4.8|14.5|10.6|87.12|1.09|12.16|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 12-0000 TCX|#E2D6C4|226|214|196|0.0|5.3|13.3|11.4|86.18|2.13|10.16|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 12-0304 TCX|#DED4C5|222|212|197|0.0|4.5|11.3|12.9|85.37|1.68|8.64|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 13-0908 TCX|#DDD0BD|221|208|189|0.0|5.9|14.5|13.3|84.1|2.53|11.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 13-1006 TCX|#D9CAB4|217|202|180|0.0|6.9|17.1|14.9|82.24|2.47|13.23|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 12-0709 TCX|#E1CDB6|225|205|182|0.0|8.9|19.1|11.8|83.66|4.5|14.39|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 11-0110 TCX|#EDE0CD|237|224|205|0.0|5.5|13.5|7.1|89.77|2.64|10.69|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 11-0907 TCX|#EEDECC|238|222|204|0.0|6.7|14.3|6.7|89.47|3.31|11.27|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 12-0704 TCX|#EBDBC8|235|219|200|0.0|6.8|14.9|7.8|88.25|3.4|11.35|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 11-0809 TCX|#F1DECA|241|222|202|0.0|7.9|16.2|5.5|89.5|4.4|12.21|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 12-0710 TCX|#ECDBC2|236|219|194|0.0|7.2|17.8|7.5|88.27|3.34|14.56|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 12-0605 TCX|#DDD0BA|221|208|186|0.0|5.9|15.8|13.3|84.21|1.82|12.55|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 13-1008 TCX|#D8CBB3|216|203|179|0.0|6.0|17.1|15.3|82.34|1.67|13.65|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 13-1104 TCX|#D9CABA|217|202|186|0.0|6.9|14.3|14.9|82.12|3.37|10.02|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 12-1404 TCX|#D9CBBE|217|203|190|0.0|6.5|12.4|14.9|82.53|3.3|8.52|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 13-1107 TCX|#D9CABD|217|202|189|0.0|6.9|12.9|14.9|82.4|3.78|8.41|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 13-1106 TCX|#DCCDBD|220|205|189|0.0|6.8|14.1|13.7|83.21|3.62|9.76|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 13-1308 TCX|#D9C9B7|217|201|183|0.0|7.4|15.7|14.9|81.91|3.41|11.05|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 12-1403 TCX|#D9CCBB|217|204|187|0.0|6.0|13.8|14.9|82.81|2.68|10.2|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
FHI Cotton TCX|PANTONE 13-0907 TCX|#D6CBBB|214|203|187|0.0|5.1|12.6|16.1|82.19|1.93|9.39|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
