ISO28178
# Data formatted with IT8.7/4 patch set
ORIGINATOR	"Idealliance  E,G,J4,T"
CREATED	"December, 2016"
DESCRIPTOR	XCMYK - Expanded gamut reference characterization for high density offset printing
MEASUREMENT_SOURCE	"MeasurementCondition=M1	Filter=D50"
ILLUMINATION_NAME	D50
OBSERVER_ANGLE	2
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
KEYWORD	SampleID
NUMBER_OF_FIELDS	11
BEGIN_DATA_FORMAT
SampleID	CMYK_C	CMYK_M	CMYK_Y	CMYK_K	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS	1617
BEGIN_DATA
1	0	0	0	0	85.012	87.618	76.932	95	1	-4
2	0	10	0	0	77.06	75.089	69.039	89.435	9.548	-6.672
3	0	20	0	0	70.407	64.523	62.037	84.237	18.193	-9.033
4	0	30	0	0	64.356	55.309	55.183	79.219	26.536	-10.726
5	0	40	0	0	58.672	46.865	48.363	74.103	35.324	-12.021
6	0	55	0	0	51.272	36.464	38.881	66.873	47.871	-12.744
7	0	70	0	0	44.588	27.759	29.815	59.671	60.487	-11.981
8	0	85	0	0	38.311	20.412	20.451	52.3	73.19	-7.869
9	0	100	0	0	32.102	15.153	10.894	45.844	79.978	4.789
10	10	0	0	0	74.023	78.601	75.59	91.054	-3.608	-9.661
11	10	10	0	0	67.214	67.461	67.879	85.736	4.821	-11.987
12	10	20	0	0	60.931	57.52	60.759	80.471	13.244	-14.269
13	10	30	0	0	55.145	48.546	53.611	75.168	22.068	-16.033
14	10	40	0	0	50.603	41.608	47.412	70.6	30.036	-16.957
15	10	55	0	0	44.751	32.907	38.651	64.086	41.926	-17.243
16	10	70	0	0	38.599	24.577	29.486	56.661	55.307	-16.644
17	10	85	0	0	33.019	17.86	20.314	49.325	68.237	-12.716
18	10	100	0	0	27.266	12.941	10.619	42.674	75.284	0.187
19	20	0	0	0	64.364	70.568	74.373	87.275	-8.169	-15.128
20	20	10	0	0	58.358	60.566	66.679	82.145	-0.096	-17.067
21	20	20	0	0	52.498	50.994	59.271	76.676	8.821	-19.326
22	20	30	0	0	48.513	44.43	53.305	72.515	16.151	-20.277
23	20	40	0	0	43.95	37.436	46.877	67.603	24.442	-21.496
24	20	55	0	0	38.401	29.048	37.911	60.824	36.735	-21.868
25	20	70	0	0	33.202	21.69	29.267	53.696	50.043	-21.404
26	20	85	0	0	28.386	15.66	20.107	46.525	63.116	-17.116
27	20	100	0	0	23.199	11.084	10.413	39.721	70.808	-4.244
28	30	0	0	0	55.575	63.017	72.998	83.451	-12.561	-20.523
29	30	10	0	0	49.935	53.607	65.309	78.232	-4.645	-22.53
30	30	20	0	0	45.502	45.962	58.514	73.521	3.412	-24
31	30	30	0	0	41.173	38.949	52.022	68.715	11.37	-25.43
32	30	40	0	0	37.158	32.672	45.726	63.894	19.488	-26.524
33	30	55	0	0	32.524	25.347	37.395	57.412	31.627	-27.048
34	30	70	0	0	28.299	19.034	29.111	50.727	44.664	-26.272
35	30	85	0	0	24.167	13.662	20.249	43.744	57.734	-22.205
36	30	100	0	0	19.725	9.539	10.642	37.002	66.158	-9.665
37	40	0	0	0	47.516	55.83	71.343	79.517	-16.774	-25.845
38	40	10	0	0	42.378	47.268	63.842	74.361	-9.334	-27.808
39	40	20	0	0	39.236	41.264	57.644	70.361	-1.725	-28.56
40	40	30	0	0	34.825	34.192	50.894	65.115	6.446	-30.389
41	40	40	0	0	31.949	29.304	45.357	61.049	13.884	-30.986
42	40	55	0	0	27.642	22.422	37.088	54.472	25.931	-31.696
43	40	70	0	0	23.955	16.718	28.933	47.902	38.886	-30.853
44	40	85	0	0	20.377	11.862	20.418	40.995	52.154	-27.292
45	40	100	0	0	16.544	8.13	11.047	34.253	61.234	-15.67
